Rank,City,Country,2019,2020,Growth_Rate_(%)
555,Aden,Yemen,9374,980455,3.17
556,Padang,Indonesia,964358,980455,1.67
557,Cebu City,Philippines,967436,980070,1.31
558,Acapulco De Juarez,Mexico,966958,979381,1.28
559,Kayseri,Turkey,9262,973506,1.38
560,Bobo Dioulasso,Burkina Faso,9243,972124,5.17
561,Xiongan,China,892142,969535,8.67
562,Bordeaux,France,957383,968993,1.21
563,Xuchang,China,9373,968135,3.65
564,Songkhla,Thailand,953612,966597,1.36
565,Asmara,Eritrea,928758,962985,3.69
566,Nonthaburi,Thailand,949762,962694,1.36
567,Chenzhou,China,914372,959881,4.98
568,Warangal,India,9365,959658,2.47
569,Dnipro,Ukraine,963113,957345,-0.60
570,Krasnodar,Russia,938135,957214,2.03
571,Khulna,Bangladesh,962845,953745,-0.95
572,Ilorin,Nigeria,928632,949866,2.29
573,Jixi Heilongjiang,China,936975,949646,1.35
574,Morelia,Mexico,9374,948793,1.36
575,Sekondi Takoradi,Ghana,,945519,5.05
576,Cancun,Mexico,9158,943922,3.15
577,Seongnam,South Korea,945746,943768,-0.21
578,Qujing,China,7828,942342,3.80
579,Nice,France,9410,942208,0.04
580,Changshu,China,8940,938683,4.93
581,Ikorodu,Nigeria,8872,937615,5.68
582,Xintai,China,55,936382,3.41
583,Cucuta,Colombia,9247,933380,1.12
584,Blantyre Limbe,Malawi,4758,932263,3.04
585,Jerusalem,Israel,9197,931756,1.34
586,Pingxiang Jiangxi,China,4694,928895,2.68
587,Southampton,United Kingdom,919843,927916,0.88
