Rank,City,Country,2020,2019,Change
364,Zurich,Switzerland,1395356,13892,0.89
365,Allahabad,India,1393723,1373594,1.47
366,Ottawa,Canada,1393086,1378151,1.08
367,Kota,India,1386877,13420,3.30
368,Gwalior,India,1378375,1347582,2.29
369,Joao Pessoa,Brazil,1378249,1362689,1.14
370,Amritsar,India,1377371,1355875,1.59
371,Basra,Iraq,1352210,1324763,2.07
372,Taizhou Jiangsu,China,1348056,13145,2.55
373,Copenhagen,Denmark,1346485,1333888,0.94
374,Dallas,United States,1345340,13435,0.13
375,Queretaro,Mexico,1339103,1313522,1.95
376,Taian Shandong,China,1338828,1314249,1.87
377,Adelaide,Australia,1336403,1328119,0.62
378,Homs,Syria,1335804,1314355,1.63
379,Yiwu,China,1334356,12711,4.19
380,Bucaramanga,Colombia,1331453,1313376,1.38
381,Dhanbad,India,1331186,13166,1.15
382,Konya,Turkey,1328136,1299368,2.21
383,Maceio,Brazil,1323039,18693,1.10
384,Taizhong,Taiwan,1320591,12252,1.41
385,Nouakchott,Mauritania,1314636,1258973,4.42
386,Porto,Portugal,1312947,195,0.24
387,Suweon,South Korea,1311321,1288887,1.74
388,Samut Prakan,Thailand,1306937,12893,1.36
389,Prague,Czech Republic,1305737,12984,0.53
390,Helsinki,Finland,1304851,1292232,0.98
391,Weihai,China,1304315,12012,3.52
392,Cochabamba,Bolivia,1303907,12649,2.62
393,Joinville,Brazil,1303141,1286622,1.28
394,Hai Phong,Vietnam,1300088,1259429,3.23
395,Mombasa,Kenya,1295975,1253811,3.36
396,Niamey,Niger,1291848,1251511,3.22
397,Qom,Iran,1287937,1264584,1.85
398,Zhanjiang,China,1286854,1258677,2.24
399,Fushun Liaoning,China,1285387,1285571,-0.01
400,Ganzhou,China,1285039,1221386,5.21
401,Sofia,Bulgaria,1280968,1276937,0.32
402,Zunyi,China,1280960,12484,2.60
403,Dongying,China,1276028,12313,2.88
404,Mianyang Sichuan,China,1275851,1251619,1.94
405,Kaifeng,China,1274287,12265,3.58
406,Kazan,Russia,1272063,1263412,0.68
407,Rizhao,China,1270948,1228374,3.47
408,Kisangani,Dr Congo,1261310,121,3.98
409,Jiaxing,China,1259844,1199747,5.01
410,Nizhniy Novgorod,Russia,1257754,12885,-0.25
411,Nanchong,China,1257726,12152,3.49
412,Bareilly,India,1255287,12234,2.47
413,Antalya,Turkey,1253872,12191,2.85
414,Port Elizabeth,South Africa,1253742,1241941,0.95
415,Ad Dammam,Saudi Arabia,1252523,1225235,2.23
416,Ahvaz,Iran,1244250,1227916,1.33
417,Shiyan,China,1241450,11843,3.30
418,Florianopolis,Brazil,1239331,1218478,1.71
419,Dublin,Ireland,1228179,1214666,1.11
420,Chelyabinsk,Russia,1227795,12228,0.47
421,Fes,Morocco,1224080,13655,1.70
422,San Luis Potosi,Mexico,1216564,1197894,1.56
423,Barquisimeto,Venezuela,1214362,11421,1.08
424,Pointe Noire,Republic Of The Congo,1214281,1175513,3.30
425,Yingkou,China,1214047,11751,3.26
426,Aligarh,India,1210554,1176576,2.89
427,Mysore,India,1209836,1185469,2.06
428,Durg Bhilainagar,India,1207637,1191681,1.34
