Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Population density (people per sq. km of land area),EN.POP.DNST,Curacao,CUW,327.477477477477,301.486486486487,339.709459459459,342.540540540541,346.445945945946,351.146396396396,355.810810810811,359.603603603604,360.754504504504,..,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Cyprus,CYP,82.9669913419913,102.087662337662,121.735173160173,122.840476190476,123.795021645022,124.706168831169,125.647727272727,126.643614718615,127.670995670996,128.708333333333,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Czech Republic,CZE,133.7304904879,132.717264138734,135.889280165717,136.097177262722,136.159958559959,136.30337995338,136.589288952208,136.834136234136,137.198109298109,137.657705257705,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Denmark,DNK,121.277164425572,125.84529813811,131.288522271977,133.164372469636,133.720695403668,134.400452488688,135.353250773994,136.41366992141,137.294117647059,137.976565849012,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Djibouti,DJI,25.4701466781708,30.9570319240725,36.8280414150129,37.4519413287317,38.105823986195,38.7703192407248,39.4302415875755,40.0824849007765,40.7289473684211,41.3684210526316,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Dominica,DMA,93.892,92.8666666666667,94.5546666666667,94.62,94.688,94.78,94.9106666666667,95.076,95.2773333333333,95.5,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Dominican Republic,DOM,147.660815566135,175.353363692817,203.129993790106,205.566363071828,207.994700890085,210.415607534672,212.827157938315,215.22962119644,217.618112192093,219.97857586421,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Ecuador,ECU,36.9561262823291,51.0594419391206,61.3781728136576,62.3051296505073,63.2447817684007,64.2286922209696,65.27629247866,66.400044290546,67.5848002899018,68.7886817522951,..,..
Population density (people per sq. km of land area),EN.POP.DNST,"Egypt, Arab Rep.",EGY,56.3910542970516,69.1461761012607,84.9156160530413,86.8172585262946,88.8087196745191,90.8379667487066,92.8650831282335,94.8787704053443,96.8834125269978,98.8734692852479,..,..
Population density (people per sq. km of land area),EN.POP.DNST,El Salvador,SLV,254.347442084942,284.166795366795,299.737837837838,301.05805984556,302.416505791506,303.818918918919,305.266602316602,306.763658301158,308.307046332046,309.881467181467,..,..
